Relay URL,Latitude,Longitude
myvoiceourstory.org,37.3598,-121.981
nostr.whitenode45.ddns.net,40.55,-74.4758
relay5.bitransfer.org,43.6532,-79.3832
relay.littlebitstudios.com,43.6532,-79.3832
public.crostr.com,43.6532,-79.3832
nostr-verified.wellorder.net,45.5201,-122.99
nostr-relay.xbytez.io,50.6924,3.20113
nostr.azzamo.net:443,52.2633,21.0283
yabu.me,35.6092,139.73
relay.arx-ccn.com,50.4754,12.3683
relay.ohstr.com:443,43.6532,-79.3832
relay.nearhood.co.uk,51.5134,-0.0890675
purplerelay.com,43.6532,-79.3832
cs-relay.nostrdev.com,50.4754,12.3683
nostr.red5d.dev,43.6532,-79.3832
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
relay.lightning.pub:443,39.0438,-77.4874
relay.mccormick.cx:443,52.3563,4.95714
fanfares.nostr1.com:443,40.7057,-74.0136
relay.shadowbip.com,54.352,18.6466
nip85.nosfabrica.com,39.0997,-94.5786
social.amanah.eblessing.co,48.1046,11.6002
relay.openspecs.uid.ovh,50.9871,2.12554
relay.pyramid.li,47.4093,8.46503
bcast.girino.org,43.6532,-79.3832
relay.jmoose.rocks:443,32.8009,-96.8195
relay.solife.me,43.6532,-79.3832
relay.flashapp.me,43.6548,-79.3885
relay.wavlake.com:443,41.2619,-95.8608
nostr.plantroon.com:443,50.1013,8.62643
relay.lanacoin-eternity.com,40.8302,-74.1299
nostr.infero.net,35.6764,139.65
nostrelay.circum.space:443,52.2245,8.826
dm-test-nostr-rs-42-disabled.samt.st,43.6532,-79.3832
relay2.fiatdenier.com,50.1013,8.62643
nostr.l484.com,30.2672,-97.7431
relay.nostr.net,43.6532,-79.3832
relay.nuts.cash,52.3676,4.90414
nostr.bond,50.1109,8.68213
nostr.debate.report,50.1109,8.68213
prl.plus,55.7558,37.6173
temp.iris.to,43.6532,-79.3832
relay.noeudlibre.fr,50.6924,3.20113
relay.routstr.com,59.4016,17.9455
relay.islandbitcoin.com,20.3898,78.0903
nostr.linky.fit,50.1109,8.68213
bitchat.nostr1.com,40.7057,-74.0136
relay.lanavault.space,60.1699,24.9384
relayone.geektank.ai:443,39.0997,-94.5786
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
relay.kizuna-miki.com,35.694,139.754
relay.edufeed.org:443,49.4521,11.0767
nr.yay.so,46.2126,6.1154
nostr.oxtr.dev:443,50.4754,12.3683
relay.primal.net,43.6532,-79.3832
relay.staging.plebeian.market,51.5072,-0.127586
nostr.planix.org,43.6532,-79.3832
relay.artio.inf.unibe.ch,46.9501,7.43678
chorus.mikedilger.com:444,-36.8906,174.794
nrs-01.darkcloudarcade.com:443,39.0997,-94.5786
relay.pocketstr.com,40.8302,-74.1299
nostr.middling.mydns.jp,35.8099,140.12
offchain.pub:443,39.1585,-94.5728
cache.trustr.ing,43.6548,-79.3885
nostrride.io,37.3986,-121.964
relay.nostrfy.org,35.6916,139.768
wheat.happytavern.co,43.6532,-79.3832
relayone.soundhsa.com:443,39.0997,-94.5786
relay.satsmarkt.club,52.6907,4.8181
nexus.libernet.app,43.6532,-79.3832
relay.directsponsor.net,42.8864,-78.8784
nostr.spicyz.io,43.6532,-79.3832
nostr.rtvslawenia.com,49.4543,11.0746
relay.trotters.cc,43.6532,-79.3832
relayone.soundhsa.com,39.0997,-94.5786
nostr.na.social,43.6532,-79.3832
ribo.us.nostria.app:443,43.6532,-79.3832
nostr.hekster.org,37.3986,-121.964
relay.nostr.dev.br,48.1046,11.6002
relay.keykeeper.world,40.7824,-74.0711
nostr.pbfs.io,50.4754,12.3683
nostr.girino.org,43.6532,-79.3832
relay1.privkey.io,25.7617,-80.1918
relay.sharegap.net,43.6532,-79.3832
relay.dreamith.to,43.6532,-79.3832
nostr2.girino.org,43.6532,-79.3832
nostr.bitcoiner.social,47.6743,-117.112
relay.nostu.be,40.4167,-3.70329
relay.mwaters.net,50.9871,2.12554
nostr.islandarea.net,35.4669,-97.6473
chorus.bonsai.com,39.0438,-77.4874
nostr.yutakobayashi.com,43.6532,-79.3832
nostras.app,38.7946,-106.535
relay.yoinekodo.jp,43.6532,-79.3832
top.testrelay.top,43.6532,-79.3832
nostr-01.uid.ovh,50.9871,2.12554
relay.orly.dev,32.7767,-96.797
offchain.bostr.online,43.6532,-79.3832
nostr-rs-relay.dev.fedibtc.com:443,39.0438,-77.4874
conduitl2.fly.dev,38.7946,-106.535
nostr.n7ekb.net,47.4941,-122.294
relay.44billion.net,43.6532,-79.3832
nostrcity-club.fly.dev,38.7946,-106.535
syb.lol,34.0549,-118.243
relay.mypathtofire.de,42.8864,-78.8784
nostr.relay.hedwig.sh,60.1699,24.9384
nostr.myshosholoza.co.za:443,52.3676,4.90414
relay.minibolt.info,43.6532,-79.3832
nostr.fullstackcash.net,45.5201,-122.99
bendernostur.duckdns.org:8443,50.1109,8.68213
nostr.21crypto.ch,47.5356,8.73209
relay.qstr.app,50.1109,8.68213
ynostr.yael.at,60.1699,24.9384
nostr.stakey.net,52.3676,4.90414
espelho.girino.org,43.6532,-79.3832
nostr.snowbla.de:443,50.4754,12.3683
hasky.chat,40.7862,-74.0743
relay.plebeian.market,50.1109,8.68213
relay.zone667.com,60.1699,24.9384
cs-relay.nostrdev.com:443,50.4754,12.3683
relay.staging.plebeian.market:443,51.5072,-0.127586
relay.openresist.com,43.6532,-79.3832
nostr.spaceshell.xyz,43.6532,-79.3832
vault.iris.to:443,43.6532,-79.3832
nostr.easycryptosend.it,43.6532,-79.3832
nostr.bitcoiner.social:443,47.6743,-117.112
relay.fiatdenier.com,43.7787,-79.5393
relay.gulugulu.moe:443,43.6532,-79.3832
relay.mitosystem.net,-23.5558,-46.6396
relay.mostro.network,40.8302,-74.1299
relay1.nostrchat.io,60.1699,24.9384
nostr.tabordalab.com,60.1699,24.9384
relay.gulugulu.moe,43.6532,-79.3832
pocketrelay.live,40.8302,-74.1299
relay.nostrfeed.com,60.1699,24.9384
testr.nymble.world,40.8054,-74.0241
x.kojira.io,43.6532,-79.3832
relay.sigit.io,50.4754,12.3683
nostrcity-club.fly.dev:443,38.7946,-106.535
relay.wisp.talk:443,49.4543,11.0746
relay-testnet.k8s.layer3.news,37.3387,-121.885
nostr-dev.wellorder.net,45.5201,-122.99
nostr.pbfs.io:443,50.4754,12.3683
nostr.takasaki.dev,43.6532,-79.3832
relay.snort.social,53.3498,-6.26031
articles.layer3.news,37.3387,-121.885
